developerWorks Premium とは何ですか？,FAQ-01
developerWorks Premiumって何？,FAQ-01
developerWorks Premium にサインアップするにはどのようにすればよいですか？,FAQ-02
developerWorks Premiumに登録する方法を教えて,FAQ-02
developerWorks Premiumへのサインアップ方法について,FAQ-02
メンバーシップを他の人に譲渡することはできますか？,FAQ-03
メンバーシップは譲渡可能か？,FAQ-03
developerWorks Premium の料金はいくらですか？,FAQ-04
developerWorks Premiumは有料ですか？,FAQ-04
developerWorks Premium には、どのような支払い方法が用意されていますか？,FAQ-05
developerWorks Premiumの支払い方法は？,FAQ-05
メンバーシップを停止した場合、解約金のようなものは発生しますか？,FAQ-06
メンバーシップを停止したら、解約金はありますか？,FAQ-06
メンバーシップを更新するには、どのようにすればよいですか？,FAQ-07
メンバーシップを更新の方法を教えて,FAQ-07
メンバーシップを更新しない場合には、どのようにすればよいですか？,FAQ-08
アクティベーション用 e-メールを失くしてしまったため、アクティベーション期限内にメンバーシップをアクティベーションすることができませんでした。どうすればよいですか？,FAQ-09
確認 e-メールに 2 つの異なる注文番号が記載されていますが、どうしてですか？,FAQ-10
このプログラムにはどのような特典があるのですか？,FAQ-11
このプログラムの特典を利用するにはどのようにすればよいですか？,FAQ-12
developerWorks Premium を購入する前に、どのようなものかを確認することはできますか？,FAQ-13
developerWorks Premium の特典が保留されているとは、何を意味するのですか？,FAQ-14
developerWorks Premium はどの国でサポートされているのですか？,FAQ-15
